"Brooklyn Rolling Sales File.  All Sales From January 1, 2011 - December 31, 2011. ",,,,,,,,,,,,,,,,,,,,
Sales File as of 03/30/2012  Coop Sales Files as of 04/06/2012,,,,,,,,,,,,,,,,,,,,
"Neighborhood Name 04/01/12, Descriptive Data is as of 04/01/12",,,,,,,,,,,,,,,,,,,,
Building Class Category is based on Building Class at Time of Sale.,,,,,,,,,,,,,,,,,,,,
BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6373,88, ,A1, 92 BAY 23RD STREET                        ,            ,11214,1,0,1,"2,790","1,376",1940, 1 , A1 ,$0,2/8/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6380,71, ,A5, 8668 BAY PARKWAY                          ,            ,11214,1,0,1,"1,740","1,782",1960, 1 , A5 ,"$610,000",10/24/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6399,4, ,S1, 1665 BATH AVENUE                          ,            ,11214,1,1,2,"1,260","1,440",1940, 1 , S1 ,$0,7/11/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6399,7, ,S1, 1657 BATH AVENUE                          ,            ,11214,1,1,2,"1,260","1,440",1930, 1 , S1 ,"$468,000",6/13/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6408,48, ,S1, 1967 BATH AVENUE                          ,            ,11214,1,1,2,"1,583","2,052",1920, 1 , S1 ,$0,11/11/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6412,31, ,A1, 8701 21ST AVENUE                          ,            ,11214,1,0,1,"3,867","3,122",1925, 1 , A1 ,"$751,000",4/19/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6413,20, ,A1, 121 BAY 28TH STREET                       ,            ,11214,1,0,1,"5,848","3,465",1915, 1 , A1 ,$0,6/21/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6431,5, ,A9, 1641 CROPSEY AVENUE                       ,            ,11214,1,0,1,"1,568","2,390",1930, 1 , A9 ,"$555,000",3/16/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6433,10, ,A5, 1703 CROPSEY AVENUE                       ,            ,11214,1,0,1,"1,438","2,490",1937, 1 , A5 ,$0,9/23/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6442,131, ,S1, 2012 BATH AVENUE                          ,            ,11214,1,1,2,709,"1,178",1925, 1 , S1 ,$0,7/18/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6445,30, ,S1, 2104 BATH AVENUE                          ,            ,11214,1,1,2,"1,017","1,530",1905, 1 , S1 ,"$465,000",3/25/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6459,77, ,A5, 8928 15TH AVENUE                          ,            ,11228,1,0,1,"1,933","2,100",1910, 1 , A5 ,"$595,000",10/18/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,59, ,A1, 284 BAY 10TH   STREET                     ,            ,11228,1,0,1,"3,867","2,007",1925, 1 , A1 ,$0,11/14/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,66, ,A9, 300 BAY 10TH   STREET                     ,            ,11228,1,0,1,"1,933","1,152",1920, 1 , A9 ,"$499,000",11/4/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,67, ,A9, 302 BAY 10 STREET                         ,            ,11228,1,0,1,"1,933","1,152",1920, 1 , A9 ,$0,5/31/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,240, ,A5, 1596 INDEPENDENCE AVENUE                  ,            ,11228,1,0,1,"1,683","1,488",1950, 1 , A5 ,"$525,000",7/26/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,245, ,A5, 1586 INDEPENDENCE AVE                     ,            ,11228,1,0,1,"2,307","1,782",1950, 1 , A5 ,$0,5/12/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6460,267, ,A9, 304 BAY 10 STREET                         ,            ,11228,1,0,1,"1,933","1,504",1920, 1 , A9 ,$0,5/31/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,89, ,A5, 285 BAY 14TH STREET                       ,            ,11214,1,0,1,"1,795","1,728",1930, 1 , A5 ,$0,12/1/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,134, ,A5, 318 BAY 14TH   STREET                     ,            ,11214,1,0,1,"1,511","1,392",1950, 1 , A5 ,"$520,000",2/7/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,217, ,A5, 8929 16TH AVENUE                          ,            ,11214,1,0,1,"1,944","1,782",1940, 1 , A5 ,$0,9/9/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,284, ,A5, 281 BAY 13TH STREET                       ,            ,11214,1,0,1,"1,649","1,392",1940, 1 , A5 ,"$475,000",2/15/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6461,313, ,A5, 1153 SHORE PARKWAY                        ,            ,11214,1,0,1,"1,966","1,392",1940, 1 , A5 ,"$529,500",2/28/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6463,127, ,A5, 8849 18TH   AVENUE                        ,            ,11214,1,0,1,"1,384",992,1950, 1 , A5 ,"$490,000",4/26/2011
3,BATH BEACH               ,01  ONE FAMILY HOMES                        ,1,6465,89, ,A5, 8855 19TH   AVENUE                        ,            ,11214,1,0,1,"1,740","1,485",1940, 1 , A5 ,"$580,000",6/10/2011
